question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lfu,262144,5,1.0,1.0,1.0,257748,26,53,27,"[""02bd2b90_3"", ""answer_280352e9"", ""ultrachat_214101"", ""84503ce4_1"", ""ultrachat_486410""]","[""answer_280352e9""]"
118b2229,single-session-user,lfu,262144,5,0.0,0.0,0.0,259471,24,45,21,"[""5dce60dd"", ""728deb4d_5"", ""628c958c_7"", ""5209e813_2"", ""9ee69ca6_2""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lfu,262144,5,1.0,1.0,1.0,255508,26,50,24,"[""98c198fb"", ""217debf7"", ""answer_d61669c7"", ""8fa64936_1"", ""dfe646a7_1""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lfu,262144,5,1.0,1.0,1.0,255391,33,57,23,"[""answer_355c48bb"", ""ultrachat_268434"", ""ultrachat_365156"", ""e2efa128"", ""80082060_2""]","[""answer_355c48bb""]"
1e043500,single-session-user,lfu,262144,5,0.0,0.0,0.0,257200,27,50,22,"[""b28990c8_1"", ""8020d945_2"", ""sharegpt_Clr6oyu_0"", ""7201d752"", ""a61d06f2""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lfu,262144,5,1.0,1.0,1.0,256797,21,44,23,"[""answer_f6168136"", ""64767b7f"", ""aaf71ce2_2"", ""b1265fd7_1"", ""dc832f73""]","[""answer_f6168136""]"
6ade9755,single-session-user,lfu,262144,5,1.0,1.0,1.0,259145,27,51,24,"[""7c5ab02a_2"", ""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""sharegpt_mJ7MnQS_31""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lfu,262144,5,1.0,1.0,1.0,256913,24,50,26,"[""answer_feb5200f"", ""0c0f2449_2"", ""f2d7486b"", ""5e87a43d_1"", ""a729934a_2""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lfu,262144,5,1.0,1.0,1.0,252219,23,50,27,"[""answer_59547700"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1"", ""ultrachat_5212""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lfu,262144,5,1.0,1.0,1.0,257441,23,46,23,"[""answer_c3567066"", ""sharegpt_TKj3yO8_0"", ""91880423"", ""394f846b"", ""7ff89315_3""]","[""answer_c3567066""]"
5d3d2817,single-session-user,lfu,262144,5,0.0,0.0,0.0,249243,26,53,27,"[""670ca40e"", ""85d16d01"", ""72f053da_2"", ""e7b0637e_3"", ""ultrachat_171456""]","[""answer_235eb6fb""]"
7527f7e2,single-session-user,lfu,262144,5,0.0,0.0,0.0,250055,23,45,22,"[""sharegpt_bTDMt3m_0"", ""bee872da_2"", ""864a563d_3"", ""44bbd8cd_2"", ""sharegpt_cRrfdsc_0""]","[""answer_7cb94507""]"
c960da58,single-session-user,lfu,262144,5,0.0,0.0,0.0,262016,25,46,21,"[""793ff37a"", ""ultrachat_109577"", ""5edfe253_2"", ""sharegpt_e328KPR_0"", ""ultrachat_228940""]","[""answer_e05e4612""]"
3b6f954b,single-session-user,lfu,262144,5,1.0,1.0,1.0,259437,29,50,21,"[""answer_94030872"", ""c566edbb_3"", ""90b1c6d4_2"", ""e27891d3_2"", ""c271c071""]","[""answer_94030872""]"
726462e0,single-session-user,lfu,262144,5,0.0,0.0,0.0,259223,26,48,22,"[""082889ba_1"", ""5b83c26e_1"", ""741c6781_1"", ""cdd9704d_1"", ""ce144f08""]","[""answer_f38f679b""]"
94f70d80,single-session-user,lfu,262144,5,1.0,1.0,1.0,257719,27,49,22,"[""answer_c63c0458"", ""67045503"", ""sharegpt_PCqCVmR_18"", ""34deeb0c_2"", ""5832a64a""]","[""answer_c63c0458""]"
66f24dbb,single-session-user,lfu,262144,5,0.0,0.0,0.0,257630,24,50,26,"[""ultrachat_59420"", ""798e4ba3_2"", ""9ca3534f_2"", ""ca3a4e4f_1"", ""b6858c2a_2""]","[""answer_fea2e4d3""]"
ad7109d1,single-session-user,lfu,262144,5,0.0,0.0,0.0,260089,26,44,18,"[""ultrachat_74974"", ""22aa7cca_3"", ""d92cc997"", ""06121f7f_1"", ""ultrachat_50497""]","[""answer_679840f8""]"
af8d2e46,single-session-user,lfu,262144,5,1.0,1.0,1.0,256451,24,50,26,"[""answer_82a04f59"", ""73d5f10c"", ""db6ddaba"", ""32a67b35"", ""38e4b795_2""]","[""answer_82a04f59""]"
dccbc061,single-session-user,lfu,262144,5,0.0,0.0,0.0,257301,29,49,20,"[""959e6cb0_3"", ""8d74c5f6"", ""4af27eab_2"", ""c3cd646c_2"", ""657ab20c_1""]","[""answer_8f276838""]"
c8c3f81d,single-session-user,lfu,262144,5,1.0,1.0,1.0,256278,24,52,28,"[""answer_761acef8"", ""19ec83c5_1"", ""2b16f3d6_1"", ""sharegpt_pRqHb1o_0"", ""b2cae160_1""]","[""answer_761acef8""]"
8ebdbe50,single-session-user,lfu,262144,5,1.0,1.0,1.0,259056,23,48,25,"[""answer_8ad8a34f"", ""b53f447a_1"", ""27d378b2_3"", ""90a5e1f3_1"", ""03b4d5d8_2""]","[""answer_8ad8a34f""]"
6b168ec8,single-session-user,lfu,262144,5,1.0,0.0,0.0,257971,26,50,24,"[""49b78a55_2"", ""ultrachat_499691"", ""33dff20c_3"", ""ultrachat_360618"", ""fb2368b8_3""]","[""answer_e623ae87""]"
75499fd8,single-session-user,lfu,262144,5,1.0,1.0,1.0,257772,26,52,26,"[""answer_723bf11f"", ""990b60df_1"", ""sharegpt_7jNclxT_13"", ""7d054e90_2"", ""sharegpt_yPCVYhX_0""]","[""answer_723bf11f""]"
21436231,single-session-user,lfu,262144,5,0.0,0.0,0.0,255120,27,50,23,"[""0d0a89dc_1"", ""dc378711_1"", ""d0785ee9_1"", ""a3118ef0_1"", ""ultrachat_172276""]","[""answer_1e6d4567""]"
95bcc1c8,single-session-user,lfu,262144,5,0.0,0.0,0.0,245474,23,46,23,"[""396238f9"", ""1c1f5ccc_2"", ""3919227f"", ""2e2085fa_1"", ""e201572a""]","[""answer_cb742a61""]"
0862e8bf,single-session-user,lfu,262144,5,1.0,1.0,1.0,260771,25,50,25,"[""answer_c6fd8ebd"", ""2442d5b9"", ""10541a2c_1"", ""sharegpt_WhKs0Le_0"", ""381b80a3""]","[""answer_c6fd8ebd""]"
853b0a1d,single-session-user,lfu,262144,5,0.0,0.0,0.0,257646,28,52,24,"[""sharegpt_n3MgsgL_0"", ""f71bf532_1"", ""6cf1848e_2"", ""643a4cf2_1"", ""f7a61595_4""]","[""answer_69811d4a""]"
a06e4cfe,single-session-user,lfu,262144,5,0.0,0.0,0.0,252094,26,53,27,"[""9de2c795"", ""fc004ede_1"", ""ultrachat_442201"", ""af257b0b_2"", ""8dd2d3cc""]","[""answer_6fe9fb49""]"
37d43f65,single-session-user,lfu,262144,5,1.0,1.0,1.0,251818,26,49,23,"[""answer_55161935"", ""ultrachat_525148"", ""1cafd864_3"", ""6ad46850_2"", ""4050ebff_5""]","[""answer_55161935""]"
b86304ba,single-session-user,lfu,262144,5,1.0,1.0,1.0,261845,22,41,19,"[""sharegpt_xGoJZ6Z_0"", ""ea8bb4f8_2"", ""answer_645b0329"", ""65f3c006_1"", ""3b73120a_1""]","[""answer_645b0329""]"
d52b4f67,single-session-user,lfu,262144,5,1.0,1.0,1.0,247009,27,52,25,"[""answer_0df6aa4b"", ""f999b05b_5"", ""cd1f21d0_3"", ""da1797c4_1"", ""ultrachat_127631""]","[""answer_0df6aa4b""]"
25e5aa4f,single-session-user,lfu,262144,5,1.0,1.0,1.0,254633,24,45,21,"[""48f804a3"", ""answer_986de8c3"", ""18807892_4"", ""087d2b0a_2"", ""sharegpt_8cFNcVG_0""]","[""answer_986de8c3""]"
caf9ead2,single-session-user,lfu,262144,5,0.0,0.0,0.0,246207,23,43,20,"[""sharegpt_3D3oQC0_213"", ""ultrachat_495546"", ""fc167d00"", ""a1c1739c_1"", ""ultrachat_75807""]","[""answer_0714183a""]"
8550ddae,single-session-user,lfu,262144,5,0.0,0.0,0.0,251881,21,42,21,"[""a7189b75"", ""4f234e2c"", ""8ec23b2c"", ""71cf5aeb_3"", ""295dc1ab_1""]","[""answer_c8354ae9""]"
60d45044,single-session-user,lfu,262144,5,1.0,1.0,1.0,247651,25,51,26,"[""answer_9cddca88"", ""fec059c5"", ""9b1d5656_2"", ""sharegpt_42tUQ8S_0"", ""a76e7e3c_2""]","[""answer_9cddca88""]"
3f1e9474,single-session-user,lfu,262144,5,0.0,0.0,0.0,246391,24,52,28,"[""205f348b_2"", ""cdf068b1_1"", ""4f23a396_1"", ""d771ea6d_2"", ""097cefd0_1""]","[""answer_57fc1954""]"
86b68151,single-session-user,lfu,262144,5,1.0,1.0,1.0,261083,23,47,24,"[""5ace87df_1"", ""answer_dc11c1eb"", ""ultrachat_121159"", ""3d72c0c0"", ""4e671700""]","[""answer_dc11c1eb""]"
577d4d32,single-session-user,lfu,262144,5,1.0,1.0,1.0,248401,21,46,25,"[""answer_0dd4d99a"", ""6e2cca63_2"", ""88925167_1"", ""ultrachat_125084"", ""92a6a6f7_2""]","[""answer_0dd4d99a""]"
ec81a493,single-session-user,lfu,262144,5,1.0,1.0,1.0,259904,23,51,28,"[""answer_ed1982fc"", ""ultrachat_27488"", ""d2fc150a_1"", ""90fea364_3"", ""0ba46bdc_3""]","[""answer_ed1982fc""]"
15745da0,single-session-user,lfu,262144,5,0.0,0.0,0.0,247046,28,47,19,"[""07d33eaa"", ""64a97d9b"", ""a4f22269"", ""sharegpt_jnrxuVu_0"", ""1c662b7b_1""]","[""answer_586de428""]"
e01b8e2f,single-session-user,lfu,262144,5,0.0,0.0,0.0,247584,25,53,28,"[""sharegpt_jyMHY1J_31"", ""97338ddd_1"", ""8be2c3f1"", ""963e896f_2"", ""b2543a58_3""]","[""answer_5ca6cd28""]"
bc8a6e93,single-session-user,lfu,262144,5,1.0,1.0,1.0,256786,20,48,28,"[""answer_e6143162"", ""8c1da8f9_1"", ""a1b3dd27_1"", ""b869d7ed_2"", ""552c7fd0""]","[""answer_e6143162""]"
ccb36322,single-session-user,lfu,262144,5,0.0,0.0,0.0,257078,24,46,22,"[""46d9d476"", ""c38b33ae"", ""162ff451"", ""8b1019b8_1"", ""ultrachat_395168""]","[""answer_f1fbb330""]"
001be529,single-session-user,lfu,262144,5,1.0,1.0,1.0,256275,27,51,23,"[""answer_530960c1"", ""9becef17_3"", ""ultrachat_470904"", ""84648e61_2"", ""ultrachat_278930""]","[""answer_530960c1""]"
b320f3f8,single-session-user,lfu,262144,5,1.0,1.0,1.0,260257,24,46,22,"[""answer_5cc9b056"", ""aae4411b_2"", ""240d7361_1"", ""f2797fac"", ""b89f68c4_4""]","[""answer_5cc9b056""]"
19b5f2b3,single-session-user,lfu,262144,5,1.0,1.0,1.0,259543,21,43,22,"[""ultrachat_138083"", ""b951f8c6_2"", ""fbe6fa2c_1"", ""answer_5ff494b9"", ""ultrachat_268389""]","[""answer_5ff494b9""]"
4fd1909e,single-session-user,lfu,262144,5,0.0,0.0,0.0,262110,29,55,26,"[""502b6b52_2"", ""2479cbae"", ""sharegpt_hO4FoVt_0"", ""ultrachat_186237"", ""dedfc119_1""]","[""answer_2952aee4""]"
